Wavelengths,Rrs_sr-1,MEM_PUW,MEM_LowC,MEM_CDOM,MEM_CDOM-Chl,MEM_Chl,MEM_TSM,MEM_TSM-CDOM,MEM_TSM-Chl,MEM_HighC
791,0.003047921,6.26E-06,0.000605042,0.000593042,0.005316298,0.005432166,0.02004598,0.019657814,0.025152635,0.024689127
792,0.003075876,6.32E-06,0.000610159,0.000598084,0.00536201,0.00547859,0.020234482,0.019844308,0.025368555,0.02490318
793,0.00310596,6.38E-06,0.000615266,0.000603117,0.005407533,0.005524803,0.020422559,0.020030442,0.025583409,0.025116255
794,0.003131993,6.44E-06,0.000620526,0.0006083,0.0054544,0.005572403,0.020615499,0.020221326,0.025803525,0.025334474
795,0.003147214,6.51E-06,0.000625911,0.000613603,0.005502355,0.005621124,0.020812381,0.02041607,0.026027827,0.025556798
796,0.0031613,6.57E-06,0.000631175,0.000618791,0.005549121,0.005668593,0.021005284,0.020607023,0.026246947,0.025774159
797,0.003176725,6.62E-06,0.000636194,0.000623745,0.005593643,0.005713712,0.021190559,0.020790656,0.026456599,0.025982409
798,0.003202486,6.67E-06,0.000640881,0.000628381,0.005635037,0.005755563,0.021365144,0.020964008,0.02665323,0.026178101
799,0.003235457,6.71E-06,0.000645329,0.000632788,0.005674289,0.005795173,0.021532483,0.0211304,0.026840977,0.026365234
800,0.003269185,6.70E-06,0.00064955,0.000636977,0.005711757,0.005832917,0.021693854,0.021291064,0.027021404,0.026545319
801,0.003265775,6.62E-06,0.00065334,0.000640751,0.005745697,0.005866981,0.021843249,0.021440184,0.027187484,0.026711543
802,0.003275514,6.49E-06,0.000656646,0.000644059,0.005775515,0.00589675,0.021978598,0.021575751,0.027336854,0.026861605
803,0.00329106,6.35E-06,0.000659565,0.000646996,0.00580189,0.005922932,0.022102192,0.021699974,0.027472269,0.026998168
804,0.003304873,6.19E-06,0.000662077,0.000649541,0.005824499,0.005945192,0.022212879,0.021811729,0.027592424,0.027119958
805,0.003301434,6.02E-06,0.000664073,0.000651589,0.005842433,0.005962593,0.022307538,0.021907981,0.0276937,0.027223449
806,0.003297997,5.85E-06,0.000665313,0.000652909,0.00585337,0.005972724,0.022378122,0.02198093,0.027766681,0.027299498
807,0.003304179,5.67E-06,0.00066574,0.000653446,0.005856719,0.005974977,0.022422527,0.022028515,0.027808946,0.027345734
